OrderID,Region,VehicleType,WeatherCondition,Distance_Miles,OrderDate,Damaged_Flag,ExpectedDeliveryDate,ActualDeliveryDate
ORD-00001,East,Box Truck,Rain,342,2023-03-07,No,2023-03-09,2023-03-09
ORD-00002,West,Van,Clear,612,2022-09-04,No,2022-09-07,2022-09-07
ORD-00003,North,Semi-Trailer,Clear,175,2023-01-06,No,2023-01-07,2023-01-07
ORD-00004,East,Box Truck,Rain,170,2022-10-03,No,2022-10-04,2022-10-04
ORD-00005,East,Van,Snow,15,2022-07-26,No,2022-07-27,2022-07-30
ORD-00006,West,Semi-Trailer,Clear,214,2023-02-26,No,2023-02-27,2023-03-01
ORD-00007,North,Box Truck,Clear,541,2022-05-31,No,2022-06-02,2022-06-02
ORD-00008,North,Van,Fog,1133,2022-11-16,,2022-11-20,2022-11-23
ORD-00009,East,Box Truck,Clear,54,2022-09-24,No,2022-09-25,2022-09-26
ORD-00010,South,Van,Clear,466,2023-05-09,Yes,2023-05-11,2023-05-11
ORD-00011,East,Semi-Trailer,Rain,236,2023-11-14,No,2023-11-15,2023-11-15
ORD-00012,East,Semi-Trailer,Fog,1348,2023-01-30,No,2023-02-04,2023-02-08
ORD-00013,East,Semi-Trailer,Snow,61,2023-01-24,No,2023-01-25,2023-01-26
ORD-00014,East,Box Truck,Rain,1179,2022-08-02,No,2022-08-06,2022-08-06
ORD-00015,West,Van,Clear,1314,2022-09-06,No,2022-09-11,2022-09-13
ORD-00016,North,Box Truck,Snow,1156,2022-07-15,No,2022-07-19,2022-07-21
ORD-00017,West,Van,Clear,480,2022-03-31,No,2022-04-02,2022-04-02
ORD-00018,West,Box Truck,Snow,906,2023-04-07,No,2023-04-11,2023-04-13
ORD-00019,West,Box Truck,Clear,1330,2022-11-17,No,2022-11-22,2022-11-22
ORD-00020,East,Van,Clear,623,2023-11-23,No,2023-11-26,2023-11-26
ORD-00021,South,Van,Clear,521,2023-05-31,No,2023-06-02,2023-06-02
ORD-00022,North,Semi-Trailer,Clear,795,2023-10-09,No,2023-10-12,2023-10-13
ORD-00023,South,Semi-Trailer,Rain,1235,2022-11-21,No,2022-11-26,2022-11-26
ORD-00024,West,Van,Fog,424,2022-05-05,No,2022-05-07,2022-05-08
ORD-00025,West,Van,Rain,623,2023-12-26,No,2023-12-29,2023-12-29
ORD-00026,South,Van,Snow,1455,2023-01-31,No,2023-02-05,2023-02-09
ORD-00027,South,Semi-Trailer,Clear,529,2022-11-20,No,2022-11-22,2022-11-22
ORD-00028,South,Van,Rain,683,2022-06-30,No,2022-07-03,2022-07-03
ORD-00029,West,Box Truck,Snow,1106,2023-08-09,No,2023-08-13,2023-08-15
ORD-00030,West,Van,Rain,354,2022-03-03,No,2022-03-05,2022-03-05
